COLOSSAL ADVENTURE,HEX,MCODE/ADVENTUR.TXT,0280,0280
APPLE 30TH ANNIV,HEX,MCODE/APPLE30T.TXT,0280,0280
CELLULAR AUTOMATA,HEX,MCODE/CELLULAR.TXT,0300,0300
CODEBREAKER PART 1,HEX,MCODE/CDBREAK1.TXT,E000,E000
CODEBREAKER PART 2,HEX,MCODE/CDBREAK2.TXT,0280,0280
CODEBREAKER REPORT,HEX,MCODE/CDBREAKR.TXT,0280,0280
HELLO WORLD DEMO,HEX,MCODE/HELLO.TXT,0280,0280
HUNDRED GAME,HEX,MCODE/HUNDRED.TXT,0300,0474
CONWAY GAME OF LIFE,HEX,MCODE/LIFE.TXT,2000,2000
TOWER OF HANOI,HEX,MCODE/LITTLETW.TXT,0300,0300
LUNAR LANDER,HEX,MCODE/LUNAR.TXT,0300,0300
MASTERMIND,HEX,MCODE/MASTERMI.TXT,0300,0300
MICROCHESS 1.0,HEX,MCODE/ASMMCHES.TXT,0300,0300
MICROCHESS 2.0,HEX,MCODE/MICROCHE.TXT,1000,1000
NIM GAME,HEX,MCODE/NIM.TXT,0300,04AF
PASCAL ART,HEX,MCODE/PASART.TXT,0300,0300
TYPING TUTOR,HEX,MCODE/TYPINGTT.TXT,0280,0280
YUM DICE GAME,HEX,MCODE/YUM.TXT,0280,0280
WOZ FLOATING POINT,HEX,MCODE/WOZFP.TXT,1D00,2394
TIMBERMAN GAME,HEX,MCODE/TIMBRMAN.TXT,0300,0300
