APPLE 30TH,HEX,SYSTEM/APPLE30T.TXT,0280,0280
ADVENTURE,HEX,SYSTEM/ADVENTUR.TXT,0280,0280
DISASSEMBLER,HEX,SYSTEM/DISASSEM.TXT,0800,0800
EAULTRAFORTH-83,HEX,SYSTEM/VOLFORTH.TXT,1000,1000
Enhanced BASIC 1.10,HEX,SYSTEM/EHBASIC.TXT,5800,5800
Enhanced BASIC 2.22,HEX,SYSTEM/EHBAS222.TXT,5000,5000
FIG-FORTH 1.1,HEX,SYSTEM/FIG110.TXT,0300,0300
HELLO WORLD,HEX,SYSTEM/HELLO.TXT,0280,0280
HUNDRED,HEX,SYSTEM/HUNDRED.TXT,0300,0474
LIFE,HEX,SYSTEM/LIFE.TXT,2000,2000
LUNAR LANDER,HEX,SYSTEM/LUNAR.TXT,0300,0300
MICROCHESS,HEX,SYSTEM/MICROCHE.TXT,1000,1000
ASSEMBLER CHESS,HEX,SYSTEM/ASMMCHES.TXT,0300,0300
Master Mind,HEX,SYSTEM/MASTERMI.TXT,0300,0300
Memory Test,HEX,SYSTEM/MEMTEST.TXT,0000,0280
NIM,HEX,SYSTEM/NIM.TXT,0300,0300
PASART,HEX,SYSTEM/PASART.TXT,0300,0300
TINY BASIC,HEX,SYSTEM/TINYBASI.TXT,7600,7600
